Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
18401,Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,Rocket Company,Rocket Company,,,,,,,0.04m,,0.04m,24th Dec 15,03rd Aug 18,Role-Playing
18402,Hot Potato!,GBA,BAM! Entertainment,Pukka Games,,7.7,,,0.03m,0.01m,,0.00m,0.04m,01st Jul 01,,Action
18403,Kiniro no Corda 2 f,PSP,KOEI,Koei,,,,,,,0.04m,,0.04m,26th Feb 09,,Role-Playing
18404,PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,Takara Tomy,syn Sophia,,,,,,,0.04m,,0.04m,19th Mar 15,06th Aug 18,Action
18405,Attack on Titan: Escape from Certain Death,3DS,Tecmo Koei,Koei Tecmo Games,,,,,,,0.04m,,0.04m,11th May 17,29th Jan 19,Adventure
18406,Deception III: Dark Delusion,PS,Tecmo,Tecmo,,,,,0.02m,0.01m,,0.00m,0.04m,01st Mar 00,,Role-Playing
18407,Sid Meier's Railroads!,PC,2K Games,Firaxis Games,,,,,0.01m,0.03m,,0.00m,0.04m,17th Oct 06,,Simulation
18408,WRC: FIA World Rally Championship,PSP,Namco Bandai,Traveller's Tales,,,,,0.02m,0.01m,,0.00m,0.04m,18th Apr 06,,Racing
18409,Omen of Sorrow,PS4,Soedesco,AOne Games,,,,,0.03m,,,0.01m,0.04m,16th Nov 18,17th Aug 18,Fighting
18410,Ultimate Game Room,DS,Majesco,FrontLine Studios,,,,,0.03m,,,0.00m,0.04m,30th Jun 09,,Misc
18411,Cook Wars,Wii,Ubisoft,Virtual Toys,,,,,0.03m,,,0.00m,0.04m,24th Nov 09,,Misc
18412,Hakuoki: Shinkai - Hana no Shou,PSV,Idea Factory,Design Factory,,,,,,,0.04m,,0.04m,16th Jun 16,22nd Sep 18,Adventure
18413,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,PSV,FuRyu Corporation,FuRyu Corporation,,,,,,,0.04m,,0.04m,03rd Dec 15,22nd Sep 18,Simulation
18414,Resident Evil: Umbrella Corps,PS4,Capcom,Capcom,,,,,,,0.04m,,0.04m,21st Jun 16,04th Sep 18,Shooter
18415,Saints Row 2,PC,THQ,Volition Inc.,,6.6,,,,0.03m,,0.01m,0.04m,05th Jan 09,02nd Apr 18,Action
